Resource Name,Contact Phone,Website Address,Location (if applicable),NOTES
Haven Senior Horizons (Ages 55+) ,"623-236-2000 
Fax: 623-223-7247 ",,"1201 S 7th Avenue, Ste 200, Phoenix, AZ 85007",
Desert Vista ,"480-344-2195 
Fax: 480-344-2185 ",,"570 W Brown Rd., Mesa, AZ 85201",
The UPC (Urgent Psychiatric Center)  ,"602-416-7600 
Fax: 602-253-5120",,"1201 South 7th Ave, Suite 150, Phoenix, AZ 85007",*Adults only Involuntary and voluntary inpatient psychiatric treatment
Copper Springs (Adults Only) ,"480-565-3035 
Fax: 480-485-9499 ",,"10550 West McDowell Rd., Avondale, AZ 85392","Voluntary Inpatient psychiatric treatment and medical detox Private Insurance, Personal Pay, AHCCCS, and Medicare"
Veteran Association Hospital,"602-277-5551 x6049 
Fax: 602-222-2743
Nights/Weekends x2621 
Fax: 602-222-2771 ",,"650 E Indian School Rd., Phoenix, AZ 85012",
Phoenix Children’s Hospital (Ages 4-12) ,"602-933-3627 
Fax: 602-933-4285",,"1919 E Thomas Rd., Phoenix, AZ",patientplacement@phoenixchildrens.com 
Sonora Behavioral Health (Adult and Adolescents)  ,"520-469-8700 
Fax: 520-229-8419",,"6050 N Corona #3 Tucson, AZ 85704",
Recovery Innovations: Recovery Response Center,"602-650-1212 
Fax: 623-972-6173",,"11361 N 99th Avenue, Suite 402, Peoria, AZ 85345",(Previously Psychiatric Recovery Center- PRC/ Recovery Innovations of AZ) *Adults Only; Involuntary and voluntary inpatient psychiatric treatment
,,,,
Palo Verde Behavioral Health (Adult and Adolescents),"520-322-2888 
Fax: 520-322-2818",,"2695 N Craycroft Rd., Tucson, AZ",
"Community Bridges Inc. (CBI) *Adults Only 
CPEC (Community Psychiatric Emergency Center) 
AZ Bridge to Recovery Program/East valley Addiction Involuntary and voluntary inpatient psychiatric treatment 
Recovery Center (EVARC) Observation and Inpatient Units Drug and alcohol medical detoxification","480-649-1141 
Fax: 623-931-2013",,"554 S Belleview, Mesa, AZ 85204",Offers 24-hour assessment and intervention
,,,"2770 E Van Buren, Phoenix, AZ 85008",3-5 Day treatment
,"480-507-3180 
Fax: 480-775-2438",,"358 E Javelina Ave., Ste. 101, Mesa, AZ 85210",
RESIDENTIAL TREATMENT,,,,
Valley Hope Chandler ,"480-899-3335 
Fax: 480-899-6697",,"501 N Washington, Chandler, AZ 85224",
Valley Hope Tempe,"480-831-9533 
Fax: 480-831-9564",,"2115 E Southern Ave., Tempe, AZ 85282 (M-F Intake Only)",
The River Source,1-866-625-2901,,,"Detox and Residential & Pregnancy Residential Program 
Offers financial Assistance 
Mesa Women’s Program Fax: 480-827-1637 
Arizona City- Primarily Men Fax: 520-494-8081"
"Crossroads, Inc. 
Facilities: Various locations ","602-263-5242 
Fax: 602-595-4434",,"1700 E Thomas, Phoenix, AZ 85016","admissions@thecrossroadsinc.org
Right track I, Right track II, and IOP"
Sundance (Adults Only) ,"1-877-798-5358 
Fax: 480-767-2701",,,"Male and Female Units in Scottsdale, AZ 
Most private insurances, financial assistance available"
Cavalry Addiction Recovery Center ,"602- 279-1468 
Fax: 602-279-3090",,"720 Montebello Ave., Phoenix, AZ 85014",12 step and traditional 30-day residential treatment and detox
Salvation Army (Ages 21+) ,602-256-4500,,"15 E Pima, Phoenix, AZ 85004","No After hour replacement 6 month, Work therapy program/ No cost"
Pathway (Ages 18-30) ,"480-921-4050 
Fax: 480-921-2673",www.pathwaydrugabuseprogram.com,"4820 S Mill Ave, Suite 101, Tempe, AZ 85282",Sober living with counseling
"Chicanos Por La Causa (Adults Only) 
Corazon Program ","602-233-9747 
Fax: 602-352-5989",,"3639 W Lincoln St., Phoenix, AZ, 85009",AHCCS and personal payment
"Native American Connections, Inc ","602-424-2060 
Fax: 602-424-1623
602-254-5805, 602-254-3247",,"3424 E Van Buren St., Phoenix, AZ 85008",Guiding Star Program: 45-day program for adult women and their dependent children/ Also offers traditional healing
Benson Desert Sunrise of CBI ,520-586-4061,,"470 S Ocotillo Ave., Benson, AZ",Residential treatment/ AHCCCS insurance Intake Mon-Fri only
Ebony House ,602-276- 4288,,,Phoenix AHCCCS Only
Elba House ,602-243-5492,,,Phoenix Pregnant and/or parenting women/ AHCCCS only
ADOLESCENT RESIDENTIAL TREATMENT,,,,
OASIS BEHAVIORAL HEALTH ,"Chandler Location: 
480-281-5055 
Fax: 480-917-0503 ",,"2190 N Grace Blvd, Chandler, AZ 85225",Males and Females Ages 11-17
,"Casa Grande Location: 
520-423-2662 
Fax: 520-423-2669",,"1120 E 6th St., Casa Grande, AZ 85122",Adolescent Males only
A New Foundation (Ages 11-17) ,"480-945-3302 x125 
Fax: 480-945-9308 ",,"1200 N 77th St., Scottsdale, AZ 85257","Behavioral health, substance abuse and domestic violence, diversion program Accepts AHCCCS, Private insurance and personal payment"
Deveroux (Ages 5017) ,"480-443-5582 
Fax: 480-443-5589 ",,"6436 E Sweetwater Ave., Scottsdale, AZ 85254",
Steps 2 Recovery Center (Ages 13-17) ,"480-921-4050 
Fax: 480-921-2673",www.pathwaydrugabuseprogram.com,"4820 S Mill Ave., Ste. 101, Tempe, AZ 85282",Intake through Pathway
A New Leaf ,480-969-6955,,"1655 E University Drive, Mesa, AZ 85203",
Canyon State Academy (Ages 12-18) ,"480-987-2024 
Fax: 480-987-9701 ",,"20061 E Rittenhouse Rd., Queen Creek, AZ 85142",
"OUTPATIENT  
Substance Abuse and Behavioral Health Counseling and Psychiatry Programs",,,,
AHCCCS Insurance Holder,,,,
"Mercy Maricopa 
The Behavioral Health Provider of Maricopa County ",1-800-564-5465,,,
"Cenpatico 
The Behavioral Health Provider of Pinal County ",1-866-495-6738,,,
Gila River Behavioral Health ,602-528-7100,,"Providers: Arizona’s Children Association, Southwest Behavioral Health, Southwest Network, Jewish Family and Children Services, Chicanos Por La Causa, Black Family Services, Mountain Health and Wellness, Desert Vista, Terros, EMPACT, La Frontera, New Hope Behavioral Health, New Arizona Family, Inc., Catholic Charities Community Services, BAART, A New Foundation and more",
Private Insurance Holders,,,,
BCBS ,1-888-630-2583,,,
Humana ,1-800-448-6262,,,
Aetna ,1-800-872-3852,,,
Medicare ,1-800-633-4227,,,
United Health Care ,1-866-633-2446,,,
Cigna ,1-800-244-6224,,,
INTENSIVE OUTPATIENT COUNSELING,,,,
Valley Hospital (Adults Only) ,"602-952-3939 
Fax: 602-952-3922",,"3550 E Pinchot Ave., Phoenix, AZ 85018",Intensive Outpatient and also Partial Hospitalization Program
"Crossroads, Inc. ","602-263-5242 
Fax: 602-595-4434",admissions@thecrossroadsinc.org ,"1700 E Thomas, Phoenix, AZ 85016","Facilities: Various locations 
Right track I, Right track II, and IOP"
Banner Intensive Outpatient Program,602-254-4357,,,"Adults and adolescents; Chandler, Scottsdale, and Glendale locations 
Private insurance & Persona payment with financial plans"
,,,,
Oasis Behavioral Health (Adults and adolescents) ,"480-281-5055 
Fax: 480-917-0503",,"2190 N grace Blvd., Chandler, AZ 85225",
Aurora Behavioral Health (Adults and adolescents) ,"480-345-5420 
Fax: 480-345-5453",,,
Community Bridges ,"623-643-9688 
Fax: 623-931-2013",,"2770 E Van Buren, Phoenix, AZ 85008",
Renaissance Recovery Center - 12 Step Program ,"480-632-1345
801-201-4156 
Fax: 480-632-1354",,"201 W Guadalupe Rd., Ste 314, Gilbert, AZ 85233",
The River Source ,1-888-687-7332,,,"Day program and intensive outpatient 
Mesa and Arizona City Locations"
Veterans Association ,602-277-5551 x3825,,,
Native Health (Adults Only) ,"602-279-5262 
Fax: 602-279-5393 ",,"4041 N Central Ave., Building C, Phoenix, AZ 85012",AHCCCS and personal payment
"Native American Connections, Inc ","602-424-2060 
Fax: 602-424-1623",,"4520 N Central Ave., Ste 100, Phoenix, AZ 85012",Offers traditional healing and the Pendleton court program for pregnant/ parenting women
A New Foundation (Ages 11-17) ,"480-945-3302 x125 
Fax: 480-945-9308",,"1200 N 77th St., Scottsdale, AZ 85257","Behavioral health, substance abuse and domestic violence diversion program Accepts AHCCCS, Private insurance and personal payment"
Pathway (Ages 13-17) ,"480-921-4050 
Fax: 480-921-2673",www.pathwaydrugabuseprogram.com,"4820 S Mill Ave, Suite 101, Tempe, AZ 85282",Sober living with counseling
Stonewall Institute ,"602-535-6468 
Fax: 602-595-8695",,,"Emphasis in Serving LGBTQ; Private insurance, sliding scale fees and financial assistance"
Adolescent Substance Abuse Program (ASAP) ,"IOP: 602-434-0249 
Fax: 602-996-2448",,,"Mesa, Scottsdale, ad Glendale Locations Low-cost services, accepts private insurance"
"A Wiser Mind, A Better Life ","1-888-982-9899 
Fax: 877-926-0262","Email: marketing@wisermind.com 
Web: aWiserMind.com",,In-home mental health
Copper Springs ,"480-565-3035 
Fax: 480-485-9499",,"10550 West McDowell Rd., Avondale, AZ 85392","Partial hospitalization and intensive Outpatient treatment Private Insurance, Personal Pay, Not accepting AHCCCS/ Medicare"
"Neuropsychological Testing 
Neuropsychological testing is the assessment and treatment of traumatic brain injuries, dementia, neurological  conditions, and psychiatric disorders. Testing is designed to examine a variety of cognitive abilities, including speed of  information processing, attention, memory, language, and executive functions",,,,
"Arizona Neurological Services 
3115 S Price Rd., Chandler AZ 85248 
480-855-4011",,"Dr. Christine Moyer 
480-426-1455",,
ADDITIONAL TREATMENT SERVICES AND HOTLINES,,,,
"AL-Anon/Alateen-Phoenix 
12-Step Supportive Program for Families and Friends of Alcoholics 
480-969-6144",,,,
Alcoholics Anonymous (AA),East Valley: 480-827-1905 ,Aaphoenix.org for a state-wide daily meeting schedule,,
,Phoenix: 602-264-1341 ,,,
,602-424-2060 OR 602-254-5805,,,
Meth Aid/Crystal Darkness Hotline and Resource Link ,1-888-766-6779,,,
Marijuana Anonymous Resource Line ,1-800-766-6779,,,
Eating Disorder Resource Line ,1-800-800-9126,,,
Tobacco Hotline ,1-800-556-6222,,,
Problem Gambling Helpline ,1-800-639-8783,,,
Narcotics Anonymous (NA) ,480-897-4636,,,
Cocaine Anonymous ,602-279-3838,,,Group and information line
National Council on Alcoholism and Drug Dependence ,1-800-622-2255,,,
NAMI (National Alliance on Mental Illness) ,602-759-8177,,,"Family-to-family and family support groups 
Educational supportive program on family mental illness"
SAMHSA (Substance Abuse and Mental Health Services Administration) ,1-800-662-4357,,,Treatment and services locator
,,,,
DENTAL CARE,,,,
ADULTS,,,,
Arizona Dental Association,480-344-5777,https://www.azda.org/public-resources/find-an-arizona-dentist,,Free telephonic and online dentist referral systems. Provides information on all reduced fee clinics in Arizona.
Dental plans,888-632-5353,www.dentalplans.com,,Online portal to find discount plans by zipcode
"Give Back a Smile 
(AACD) 
Special Care Clinics 
(ASDOH)",480-248-8170,www.givebackasmile.com,,"*Abuse, Special Needs"
Phoenix Indian Medical Center,602-263-1592,,,"Free dental services to members of federally recognized Native American tribes. Provides routine care, periodontics, and pediatric services."
PHOENIX,,,,
"NWH Community Health Center 
Monday-Friday, 8:00 am 5:00 pm",602-279-5351,http://www.nativehealthphoenix.org/services/dental-services/,"2423 West Dunlap Avenue Phoenix, AZ 85021","Discounts for services are offered based on  family size and income. 
Services: Cleanings, x-rays, sealants for  children, fluoride varnish, fillings, root canals,  dentures, extractions, crowns and partials. 
* Free transportation (within a 15-mile  radius). Required a 24-hour notice. (602-279- 5262 ext 3405) 
* For dental emergency that cannot wait until  regular business hours, call 602-787-3351 to speak with the on-call dentist. Call for same day appointments (Monday through Friday,  8:00 am -10:00 am or 1:00 pm – 3:00 pm)"
"Native Health Central 
Monday – Friday, 8:00  am–5:00 pm",602-279-5262,http://www.nativehealthphoenix.org/services/dental-services/,"4041 North Central Avenue Phoenix, AZ 85012",
"Baseline Dental Clinic 
Monday – Friday, 7:30 am– 8:00 pm 
Saturday, 7:30 am– 4:30 pm",602-243-7277,https://mountainparkhealth.org/what-we-do/,"635 E. Baseline Road Phoenix, AZ 85042","Discounted/sliding fees are based upon  federal poverty guidelines, and patient eligibility is determined by annual income and family size. Services: General dentistry"
"YMCA Chris-Town Dental Clinic 
Monday, 11:00 am - 8:00 pm 
Tuesday, Thursday, Friday; 8:00 am - 5:00 pm 
Wednesday, 10:00 am - 7:00 pm",602-242-7717,https://valleyymca.org/get-involved/community-programs/health/medical-dental-clinic/,"5517 N 17th Ave Phoenix, AZ 85015","Discounted/sliding fees are based upon  federal poverty guidelines, and patient  eligibility is determined by annual income  and family size. 
Services: General dentistry"
Neighborhood Outreach Access to Health (NOAH) - Balsz Educare Arizona Center for Health,480-882-4545,http://www.noahhelps.org/dental/,"1300 North 48th Street Phoenix, AZ 85008","Provide care to the uninsured, underserved patients of all ages within Maricopa County. Certain criteria are used to determine an individual’s fee based on a sliding scale. Services: Comprehensive exams, x-rays, regular and deep cleaning, sealants and fluoride varnish for children, restorative treatment-fillings, oral surgery (extractions), root canals, crowns and bridges 
Bring: 1) Proof of income of all household  members, 2) most recent one month worth  of paystubs, 3) proof of residence (gas bill,  electric, house phone, water, or lease  contract), 4) birth certificates of all household members, and 5) insurance card. 
*Provides emergency dental services 
* Contact 480-882-7537 for details about  qualification and billing"
NOAH- Desert Mission Community Health Center,602-331-5792,http://www.noahhelps.org/dental/,"9201 North Fifth Street Phoenix, AZ 85020",
Brighter Way Dental Center,602-362-0744,https://www.brighterwaydentalcenter.org/,"230 South 12th Avenue Phoenix, AZ 85007","Provides comprehensive dental care to  everyone including underserved veterans and  homeless population 
Services: Comprehensive exams, implants,  cleanings, fillings, dental x-rays, crowns and  bridges, root canals, dentures and partials,  extraction/oral surgery"
CASS Dental Clinic for the Homeless,602-256-6945,http://www.cassaz.org/cass-dental-clinic-for-the-homeless.html,"230 South 12th Avenue Phoenix, AZ - 85007","Provides comprehensive dental care to those  experiencing homelessness 
Services: cleanings, root canals, dentures and  partials, crowns and bridges, fillings,  extractions, veneers, cosmetics, implants,  and plastic surgery."
St. Vincent De Paul Free Dental Clinic Phoenix ,602-261-6868,"
https://www.stvincentdpaul.net/programs/dental-clinic","420 W. Watkins Rd Phoenix, AZ 85003","Comprehensive free dental clinic that  provides treatment and preventive care to  children and adults without insurance. Weekdays except Friday,  8:00 am- 4:30 pm; Friday, 8:00 am- 3:00 pm"
MIHS- 7th Avenue Family Health Center ,602-344-6609,"http://www.mihs.org/dental/
Check to see if you qualify:  
http://mihs.org/patient-information/price-and-financial-policy ","1205 South 7th Avenue Phoenix, AZ 85007","Federally Qualified Health Center that offers adult preventative dental services to  medically underserved. Sliding scale. Weekdays, 7:30 am-4:00 pm"
"MIHS- McDowell Family Health Center 
*Specialty care to +HIV individuals ",602-344-6550,,"1101 North Central Avenue, Suite 201 Phoenix, AZ 85004","Services: Routine exams and cleanings, oral hygiene instructions, digital x-rays, fluoride treatments, restorative treatments, emergency (pain relief) treatments, oral cancer screenings."
"MIHS- South Central Family Health Center Weekdays, 7:30 am 
4:00 pm",602-344-6489,,"33 West Tamarisk Street Phoenix, AZ 85041",
"Arizona Community Dental Clinic 
Weekdays, 9:00 am - 4:00 pm",602-254-3822,http://acdcdental.org/gethelp/,"1150 E. Washington Phoenix, AZ  85034 ","Offers non-emergency services on a sliding  scale fee. 
Application: http://acdcdental.org/wp content/uploads/2017/02/ACDC 
Application.pdf 
*Email to info@ACDCdental.org or fax to  480-344-1442 (must financially pre-qualify  before appointment can be scheduled) 
*No walk-ins available 
*In order to qualify for reduced fee, proof  must be provided that your household are at  no more than 200% of the Federal Poverty  Threshold. Present the 1) SNAP, 2) Medicaid  Card, 3) Social Security Disability Insurance,  or 4) most recent paystub within the past 3  months 
*Patients are required to pay their own  dental laboratory and pathology costs. No  sedation services are available at this time."
"Phoenix College Dental Clinic  
Spring and Fall Semesters: Monday-Friday, 8:00 am - 3:30 pm",602-285-7323,https://www.phoenixcollege.edu/community/community-services/dental-clinic,"3144 North 7th Avenue, Phoenix, AZ 85013 (Healthcare Building)","Offers preventive and therapeutic services to  qualified patients. All procedures are  performed by students under supervision of  instructors. 
Services: x-rays, dental examinations,  selective polishing, fluoride treatments, conservative periodontal therapy, administration of local anesthetic, dental  sealants"
Fortis College Phoenix,602-314-8565,,"555 N 18th St #110, Phoenix, AZ 85006",Cleaning only
Rio Salado Dental Hygiene School,480-377-4100,http://www.riosalado.edu/locations/dh/Pages/Dental-Clinic.aspx,"2250 W. 14th Street  
(Located across the street from RSC Tempe) Tempe, AZ 85281 ","Services: blood pressure screening, oral examination, x-rays as needed, cleaning, ""fluoride application, gum disease screening, oral hygiene instruction, sealants, and diet counseling. 
*first appointments maybe time consuming (3-4 hours) 
* if you have special dental or medical condition (heart disease, high blood pressure, infectious disease), a written statement from the doctor may be needed."""
Magic Smiles- West,602-903-4193,http://www.magicsmiles.org/,"5109 W Thomas Rd Suite  300, Phoenix, AZ 85031",Professional dental care at discounted prices to those without dental insurance.
Magic Smiles- East,602-903-2234,,"1701 E Thomas Rd Suite  204, Phoenix, AZ 85016",
Neighborhood Christian Center,602-258-6008,https://www.thechristianclinic.org/contact-us/,"1929 W Fillmore St., Building C, Phoenix, AZ  85009 ",Sliding scale fee for medical and denta care to qualifying individuals
GLENDALE,,,,
"Midwestern University  Clinics 
Weekdays, 8:00 am - 5:00 pm",623-537-6000,https://www.mwuclinics.com/arizona/services/dental,"59th Avenue & Utopia Glendale, AZ 85308","The Midwestern University Dental Institute  provides most of the same services one  would receive at a private dental office  including dental cleanings, x-rays, fillings,  crowns, bridges, extractions, and oral  surgery. Must complete “hardship” form to  determine cost of care."
SCOTTSDALE,,,,
Donated Dental Services,"480-850-1474 Or 
866-340-4337",AZdentalfoundation.org,"3193 N Drinkwater, Scottsdale, AZ 85251","Offers comprehensive dental services at no charge to seniors, individuals with a special need, or those who are medically 
compromised and have no other means to afford dental treatment 
Application: http://acdcdental.org/wpcontent/uploads/2013/07/DDS_Application.pdf 
*5-year waiting list may apply 
*Cannot respond to emergency requests"
CHANDLER,,,,
"MIHS- Chander Family Health Center 
Weekdays, 7:30 am - 4:00 pm",480-344-6109,http://www.mihs.org/dental/,"811 South Hamilton, Chandler, AZ 85225","Federally Qualified Health Center that offers  adult preventative dental services to  medically underserved. Sliding scale. 
Services: Routine exams and cleanings, oral  hygiene instructions, digital x-rays, fluoride  treatments, restorative treatments, ""emergency (pain relief) treatments, oral  cancer screenings. 
Check to see if you qualify:  
http://mihs.org/patient-information/price and-financial-policy"""
MESA,,,,
"MIHS- Mesa Family Health Center 
Weekdays, 7:30 am - 4:00 pm",480-344-6209,http://www.mihs.org/dental/,"59 South Hibbert, Mesa, AZ 85210","Federally Qualified Health Center that offers  adult preventative dental services to  medically underserved. Sliding scale. 
Services: Routine exams and cleanings, oral  hygiene instructions, digital x-rays, fluoride  treatments, restorative treatments,  
emergency (pain relief) treatments, oral  cancer screenings. 
Check to see if you qualify: http://mihs.org/patient-information/price-and-financial-policy "
"Arizona School of Dentistry and Oral Health (ASDOH) 
Weekdays, 8:00 am- 5:00 pm",480-248-8100,http://www.atsudental.com/dental_services/,"5855 E Still Circle, Mesa, AZ 85206","Offers prevention, general treatments, special care dentistry, pediatric dentistry, orthodontics, cosmetic dentistry, 
special/unique services, imaging capability, and implants"
CARE Partnership,480-833-8987,http://www.carepartnership.org/index.php/services-and-programs/,"466 South Bellview, Mesa, AZ 85204",Provides free programs for uninsured health and dental care.
Carrington College Dental Clinic,480-717-3510,https://carrington.edu/mesa-dental-hygiene/,"1300 S. Country Club Dr., Suite 2, Mesa, AZ 85210","Free dental care to children and adults age 3 and up. Includes x-rays cleaning and polishing. 
Allow 3-4 hours for each appointment."
Magic Smiles,480-351-3939,http://www.magicsmiles.org/,"1457 W Southern Avenue Suite 18, Mesa, AZ 85202",Professional dental care at discounted prices to those without dental insurance.
CHILDREN,,,,
"Mountain Park Health Center: Maryvale (For Children Only) 
Monday – Friday, 8:00 am  – 8:00 pm; 
Saturday, 7:30 am – 4:30 pm",602- 243-7277,https://mountainparkhealth.org/what-we-do/,"6601 West Thomas Rd Phoenix, AZ - 85033","Discounted/sliding fees are based upon  federal poverty guidelines, and patient eligibility is determined by annual income and family size 
Services: Pediatric Dentistry (under 21 years old) 
*Accepts adult patients only if recommended by a Mountain Park provider"
"Boys and Girls Club Dental Clinic (5- 18  years old) 
Tuesday – Friday, 7:00 am – 6:00 pm",602-271-9961,http://bgcmp.org/programs/bgcmp-dental-clinic/,"1601 W Sherman Street, Phoenix, AZ 85007","For children who lack dental insurance and  do not qualify for state assistance. 
Services: Comprehensive oral exams, x-rays,  sealants, fillings, extractions, root canals, and  emergency surgery"
First Teeth First,602-506-6900,https://www.maricopa.gov/1955/First-Teeth-First,"1645 E Roosevelt Street Phoenix, AZ 85006","Basic oral screening, parent education, and referrals at no cost to pregnant women and children 0 through 5 years of age. Participating children are eligible to receive fluoride varnish every six months."
,,,,
EYE CARE,,,,
ADULTS,,,,
Blind Srv. Afdc,602-255-1850,,,
EyeCare America Referral Center,,http://www.aao.org/eyecare-america,,Free eye exams based on eligibility. Go to website to see if you qualify.
PHOENIX,,,,
"Lions Sight and Hearing Foundation 
9:00 AM- 3:00 PM, Tuesday-Thursday",602-954-1723,http://lions-sight-and-hearing-foundation.org/?page_id=58,"3427 N 32nd Street, Phoenix, AZ 85018",Assistance with eye surgery and hearing aids.  Sliding scale fee based on qualifications.  Recipient is responsible for eyeglass  prescription or hearing test. Must be within  poverty income guidelines.
"Lions Vision Center 
8:30 AM- 4:00 PM, Tuesday-Thursday 
8:30 AM- 12:00 PM, Friday",602-267-7573,http://www.arizonalionsvisioncenter.org,"3124 E Roosevelt St., Building D, Ste 2, Phoenix, AZ 85008",Provides eye examinations and eye glasses  for children and adults in need. Flat discounted fee for services. Call. Must have referral
Midwestern University Eye Institute,623-537-6000,,19389 N 59th Avenue,"Comprehensive eye care on sliding scale fee  for anyone earning up to 200% of FPL. If not  qualified for discount, the eye exam is $55.  
Call to schedule an appointment. Please bring  current medication to the appointment."
New eyes: Glasses for Those in Need,,www.new-eyes.org,,Vouchers for the purchase of new prescription eye glasses
One sight,,www.onesight.org,,"Free vision care and eyewear to those who  qualify, based on income and need. Must be  screened by a partner agency. Contact your  local Lens Crafters for details."
PEORIA,,,,
"Lions Vision Center 
8:30 AM- 4:00 PM, Tuesday-Thursday 
8:30 AM- 12:00 PM, Friday",623-583-9340,http://www.arizonalionsvisioncenter.org,"9451 N 99 Ave, Ste #3, Peoria, AZ 85345",Provides eye examinations and eye glasses  for children and adults in need. Flat discounted fee for services. Call. Must have referral
TUCSON,,,,
"Lions Vision Center 
8:30 AM- 4:00 PM, Tuesday-Thursday 
8:30 AM- 12:00 PM, Friday",520-777-7334,http://www.arizonalionsvisioncenter.org,"3003 S Country Club Rd., Ste #217, Tucson, AZ 85726",Provides eye examinations and eye glasses  for children and adults in need. Flat discounted fee for services. Call. Must have referral
CHILDREN,,,,
Infant SEE,1-888-396-3937,www.infantsee.org,,"Public health program for early detection of  eye conditions in babies. Optometrists  provide comprehensive eye and vision  assessment for infants within the first year of  life, regardless of family’s income or access to  insurance coverage."
Sight for Students,801-524-2020,https://www.friendsforsight.org/,,"Free eye exams and glasses to low income  and uninsured children age 18 years and  younger 
Eligibility: Family income is no more than  200% of federal poverty level, child is not  enrolled in Medicaid or other vision  
insurance, Child is 18 years and younger and  has not graduated from high school, child or  parents is a U.S. Citizen or legal immigrant  with a social security number, and child has  not used the Sight for Students program  during the past 12 months."
PHOENIX,,,,
Foundation for Blind Children,"602-331-1470 
602-678-5800",https://www.seeitourway.org/,"1234 E Northern Avenue, Phoenix, AZ 85020",Creates opportunities for anyone with vision  loss to achieve greater independence
,,,,
HEARING,,,,
GENERAL RESOURCES,,,,
HEAR for Kids,602-690-3975,www.earfoundationaz.com,,Financial assistance for obtaining hearing  aids for children who do not qualify under  AHCCCS. Offers loaner hearing aids while waiting permanent devices. Provides  vouchers for hearing evaluations for  children.
Lions Sight and Heating  Foundation,602-954-1723,,3427 N 32nd St.,Provides assistance with eye surgery and  hearing aids. Sliding scale fee based on  qualifications. Recipient is responsible for  eyeglass prescription or hearing test. Must  be within poverty income guidelines.
,,,,
HIV/AIDS,,,,
GENERAL RESOURCES,,,,
"Southwest Center 
9:00 AM- 5:00 PM, Monday and Wednesday 
9:00 AM- 7:00 PM, Tuesday and Thursday 
9:00 AM- 3:00 PM, Friday",602-307-5330,https://swhiv.org/,"1101 N Central Ave., Ste. 200, Phoenix, AZ 85004","Free STD testing and some treatment, free HIV/AIDS testing, information and classes on HIV/AIDS and community resources.  Recommended to first call Ryan White at  Central Eligibility to see what you qualify for:  602-212-3788.  
If you have tested positive for HIV/AIDS, you can go to McDowell Clinic where they have an HIV/AIDS Doctor on staff"
"MIHS- McDowell  
Family Health Center Weekdays, 7:30 am - 4:00 pm",602-344-6550,,"1101 North Central Avenue, Suite 201 Phoenix, AZ 85004",
"Phoenix Body Positive,  INC",602-307-5330,,,"Education, social events, clinical trials, peer support & advocacy, behavioral health and  counseling"
Shanti Group Phoenix,602-279-0008,,,"HIV, health, education, counseling, homeless transition, substance abuse assistance &  after-care"
"Catholic Charities  
Community Services",602-749-4405,https://www.catholiccharitiesaz.org/about-us/history,"2220 S Country Club Drive, Suites 106, 108,  Mesa, AZ 85210","Provides counseling for individuals, families,  couples, children, and adolescents dealing  with abuse, adolescent behavior, anger  management, anxiety, communication,  depression, domestic abuse, divorce, family  conflict, grief and loss, HIV/AIDS, marriage  and relationship skills, parenting, school  adjustment, self- esteem, stress management, substance abuse, and  pregnancy. "
,602-997-6105,,"1825 W Northern Avenue, Phoenix, AZ 85021",
,623-486-9868,,"7400 W Olive Avenue,  #10, Peoria, AZ 85345",
Care Directions,602-264-2273,,"1366 E Thomas, Ste 200","Treatment benefits, coordination of  care/drug and HIV treatment. Case management in English and Spanish"
AIDS Project Arizona,602-253-2437,,,"Health, support, education, financial  assistance, food bank"
HIV/AIDS Latino Outreach Services,"602-257-5530 
602-689-5479",,,Outreach program for all Latinos in Maricopa and Pinal County
Planned Parenthood  Central,602-277-7526,,,
,,,,
VETERANS,,,,
GENERAL RESOURCES,,,,
Community Resource &  Referral Center (CRRC),602-568-7843,,650 E Indian School Rd,
Regional VA,1-800-827-1000,,3333 N Central Avenue,
U.S. Vets,602-305-8585,,,Provides housing in conjunction with clinical  counseling and employment assistance
VA Hospital,602-277-5551,,650 E Indian School Rd,
Banner Behavioral Health,602-25-4357,www.bannerhealth.com,,Outpatient- Mental health and substance  abuse services. The Villa- Residential  substance abuse services- geared especially  for veterans
Brighter Way Dental Center,602-362-0744,https://www.brighterwaydentalcenter.org/,"230 South 12th Avenue Phoenix, AZ 85007","Provides comprehensive dental care to  everyone including underserved veterans and  homeless population 
Services: Comprehensive exams, implants,  cleanings, fillings, dental x-rays, crowns and  bridges, root canals, dentures and partials,  extraction/oral surgery"
,,,,
INCARCERATED AND EX-OFFENDERS,,,,
GENERAL RESOURCES,,,,
211 Arizona Reentry Referrals,,http://www.211arizona.org/reentry/,,"Community information for those with  criminal records. Includes food, shelter, GED  courses, and mentoring."
Arizona Women’s Education and Employment (AWEE),,http://awee.org,,"Job readiness workshops, mentoring, help with family relationships, help with job related expenses, education referrals, basic  supportive services."
Arouet Foundation,480-303-7089,arouetfoundation.org,,"Education assistance, workforce development, job opportunities for those who are still incarcerated and for those with records after they are released."
AZ Common ground,,www.azcommonground1.com,,"Workforce development training, job  placement, mentorship, and other post  release support services for previously  incarcerated youth and adults."
Criminal Record Repository,602-223-2229,www.dps.state.az.us/reports/criminalhistory/default.asp,,Individuals may contact this agency to obtain  a copy of their state rap sheet. Must submit  full set of fingerprints.
Department of Corrections,602-542-5536,,1601 W Jefferson,
Family Service Agency: Community Reintegration Program,602-264-9891,www.fsaphoenic.org/exoffenderreentry/communityreintegrationprogram.aspx,,"Education and career support, financial  advice, record expungement, and help  navigating the Federal Bonding program."
